review
"Заказывала два разных размера (маленький и большой),но оставила большой,т.к. в него больше поместиться. Сшит хорошо,удобный замок. Заказала ещё один."
"Я такой шопер могла купить у других продавцов дешевле,чем ваш за 700 рублей,но специально заказала именно этот,потому что нужен был НА МОЛНИИ,как и написано в карточке товара и показано на картинках,в итоге пришел обычный шопер на магните👍🏼"
"Это супер находка. Заказала на работу, для мелких вещей, но, мне кжется, буду носить и просто так. Маленькая, но вместительная, приятный материл, нитки ее торчат. 10/10"
"Каждый день хожу в школу, всё помещается, даже учебник английского (с натяжечкой, но можно постараться)"
"Заказала бежевую сумочку, по качеству нормальная. ВОТ ТОЛЬКО РЕМЕШОК НЕ СООТВЕТСТВУЕТ ЦВЕТУ САМОЙ СУМКИ 
ОТКАЗ 👎🏻"
Сумка выглядит круто и при этом очень вместительная
"Отличная, красивая сумка. Гораздо лучше стандартного шоппера"
"Классный шоппер, когда увидела в пункте выдачи, подумала, что не тот размер прислали, но померила и была удивлена, что размер тот, но выглядит маленьким. На самом деле очень вместительный, брала для работы, очень довольна. Теперь руки свободны от пакетов."
Ну классная
"очень красивая сумочка . удобная . есть кармашек . сумочка на кнопочке . большая , вместит в себя очень много всего , и место останется . в школу ходила с ней . советую к покупке !! 🤍"
"Замечательная сумка, влазит пол дома!"
"Очень хороший шоппер , шуршит малость )"
"Сумка пришла целая,спасибо,правда замок вшит интересно,нужно было пришить немного в сторону и было бы класс"
"Фото сумки нет, но вы можете посмотреть на мои выигранные игрушки из автомата, сумка меньше чем я думала, но это я не доглядела ,в размерной сетке есть эта информация, так норм, сумка как сумка, тетради помещаются и это хорошо"
"Мне очень понравилась эта сумка, очень эстетичная, удобная и красивенькая. Только минус на переднем кармане нету молнии и туда не положишь ценные вещи т. к они выпадают, а в остальном всё круто"
"Сумка пришла в отличном состоянии, крепкая, швы сделаны хорошо. 
Вместительная, на фото показала, как в нее поместилась моя немаленькая бутылка для воды.
Имеется спереди доп. кармашек, вместительный и удобный, жалко, что он не застегивается. 
Ставлю однозначно 11/10, для прогулок сумка идеальна, для учебы и парочки-тройки тетрадей тоже подойдет."
"Сумка ооочень классная 😌🤩 Небольшая, но вместительная. Единственное не хватает небольшого внутреннего кармана и заклёпки на внешнем кармашке 🙃"
"Сумка очень порадовала, уверена, будет выручать в дни, когда пар мало 
Боялась, что в нее вмещаются только школьные тетради, но мои тетради 26 на 19см тоже прекрасно поместились в сумочке.
В итоге в данный момент в сумочке:

2 тетради 26*19 
Учебник
Пенал
Кошелек с документами
Наушник 
Влажные салфетки

Достаточно вместительная для своего размера, возможно маленький минус - лямка немножко другого цвета, но я была уведомлена что такое может произойти, так что ничего страшного (лично для меня)
10/10, то что я и ожидала 
А самое милое - ответы на отзывы, к каждому клиенту индивидуальный подход, кайф)"
